date,distance_fishing,distance_total,time_fishing,time_total,num_strings
2023-10-23,22.242261068037056,39.1871541807936,6.700833333333333,8.886111111111111,13
2023-10-24,21.604402058696948,38.282635835885486,6.8966666666666665,9.1325,12
2023-10-26,21.657425536263872,37.78053974633408,6.939722222222223,9.105277777777777,13
2023-10-30,17.26285261854451,34.10118974392376,5.808055555555556,8.461666666666666,10
2023-10-31,21.040256361527256,37.54298343390205,6.578888888888889,8.802777777777777,11
2023-11-01,23.81937274515026,40.16014659844108,6.565833333333333,8.751111111111111,12
2023-11-06,22.280141523597486,38.37307250833946,6.568333333333333,8.69111111111111,12
2023-11-07,22.62999019072423,39.026816750503585,6.862777777777778,8.926111111111112,12
2023-11-13,19.269170448791076,34.88509340499558,6.289166666666667,8.3525,12
2023-11-15,22.140879845830696,37.82218972332489,6.549722222222222,8.600555555555555,12
2023-11-16,19.156052832694826,34.619256124503245,6.506666666666667,8.627222222222223,12
2023-11-20,19.869038289958446,35.271361339470246,6.304166666666667,8.585833333333333,12
2023-11-21,17.94794492596198,34.74743666638852,5.571111111111111,7.6825,11
2023-11-27,19.266456195074017,35.21486681653878,6.189166666666667,8.541666666666666,11
2023-11-29,6.658720603562539,24.755984694612536,2.771388888888889,5.5936111111111115,5
2023-11-30,14.512555990416388,31.458263995104755,4.746666666666667,7.236666666666666,9
2023-12-04,11.039883728509682,28.33048728345744,3.8175,6.394444444444445,8
2023-12-05,6.222773941096711,24.006231557025234,2.6463888888888887,6.119166666666667,6
2023-12-06,2.4226254424107094,19.829815580030417,1.2422222222222223,5.006944444444445,3
